50,2016-0069,1,2016-05-23,3,Av Entre Rios Y Pasaje Filiberto,Avenida,Entre Rios Av.,Filiberto,Entre Rios Av. Y Filiberto,comuna 3,Point (106612.54991859 100244.75667446),-58.39118948,-34.62704273,Auto-Cargas,Cargas
51,2016-0073,1,2016-06-11,15,Magariños Cervantes 3900,Calle,"Magari?Os Cervantes, A.",Sd,"Magariã‘Os Cervantes, A. 3900",comuna 10,Point (97531.24792840 101000.15957301),-58.49021952,-34.62025108,Moto-Cargas,Cargas
52,2016-0074,1,2016-06-12,6,Av Gral Paz Y Rodolfo Scapino,Gral Paz,"Paz, Gral. Av.","Scapino, Rodolfo","Paz, Gral. Av. Y Scapino, Rodolfo",comuna 8,Point (96731.44252651 94668.88351657),-58.49896559,-34.67732118,Auto-Auto,Auto
53,2016-0075,1,2016-06-12,23,Autopista Dellepiane Luis Tte Gral Y Miralla,Autopista,Autopista Dellepiane Luis Tte. Gral.,Miralla,Autopista Dellepiane Luis Tte. Gral. Y Miralla,comuna 8,Point (98963.32962830 95620.61360192),-58.47461076,-34.66874679,Peaton-Auto,Auto
54,2016-0076,1,2016-06-13,16,Av San Martin Y Camarones,Avenida,San Martin Av.,Camarones,San Martin Av. Y Camarones,comuna 15,Point (100109.22264405 102851.86942760),-58.46210891,-34.60356211,Peaton-Pasajeros,Pasajeros
55,2016-0077,1,2016-06-13,21,Tteg Juan D Peron Y Avda Leandro N Alem,Avenida,"Peron, Juan Domingo, Tte. General","Alem, Leandro N. Av.","Peron, Juan Domingo, Tte. General Y Alem, Leandro N. Av.",comuna 1,Point (108532.37320501 102648.40418720),-58.3702777,-34.60536123,Peaton-Pasajeros,Pasajeros
56,2016-0078,1,2016-06-13,23,Av Belgrano Y Av Jujuy,Avenida,Belgrano Av.,Jujuy Av.,Belgrano Av. Y Jujuy Av.,comuna 3,Point (105354.74322032 101621.63182427),-58.40491455,-34.6146383,Moto-Moto,Moto
57,2016-0079,1,2016-06-16,17,Av Del Libertador Y Av Guillermo Udaondo,Avenida,Del Libertador Av.,"Udaondo, Guillermo Av.","Del Libertador Av. Y Udaondo, Guillermo Av.",comuna 13,Point (100757.94817512 108943.96108781),-58.45504154,-34.54864492,Auto-Auto,Auto
58,2016-0080,1,2016-06-18,6,Av Gral Paz Y Av Rivadavia,Gral Paz,"Paz, Gral. Av.",Rivadavia Av.,"Paz, Gral. Av. Y Rivadavia Av.",comuna 9,Point (93950.50587297 98883.37644525),-58.52927982,-34.63931752,Auto-Sd,Sd
59,2016-0081,1,2016-06-22,7,Av Crisologo Larralde Y Machain,Avenida,"Larralde, Crisologo Av.",Machain,"Larralde, Crisologo Av. Y Machain",comuna 12,Point (97805.54034401 107789.89169078),-58.4872106,-34.55904606,Moto-Auto,Auto
60,2016-0082,1,2016-06-27,18,Av La Plata 2384,Avenida,La Plata Av.,Sd,La Plata Av. 2384,comuna 4,Point (103719.51591058 98555.13443768),-58.42273092,-34.64228803,Peaton-Auto,Auto
61,2016-0083,1,2016-06-28,20,Av Juan B Alberdi Y Puan,Avenida,"Alberdi, Juan Bautista Av.",Puan,"Alberdi, Juan Bautista Av. Y Puan",comuna 6,Point (101413.41644585 100430.31523295),-58.44788671,-34.62539009,Peaton-Moto,Moto
62,2016-0084,1,2016-06-29,22,Carlos Pellegrini Y Tucuman,Calle,"Pellegrini, Carlos",Tucuman,"Pellegrini, Carlos Y Tucuman",comuna 1,Point (107539.54864414 103093.65031518),-58.38110563,-34.60135531,Peaton-Pasajeros,Pasajeros
